,text,label
0,Language Education in the Time of COVID-19,False
1,COVID-19 Test Kits,False
2,COVID 19 IN PRISON,False
3,Get Waled Home,False
4,Make pass/fail available for Mississippi State Students for the 2020-2021 academic year.,False
5,Governor Doug Burgum to Issue Mandatory Shelter-in-Place Order,False
6,Early release due to covid 19,False
7,Medical professionals need protection and gear to fight Covid 19 !,False
8,"Save Gilroy Recreation - Theater, Aquatics, Preschool, etc.",False
9,Class of 2020 to get their certification,False
10,Calling for Disability- Inclusive Response to Covid-19 Pandemic in the Philippines,False
11,Open the 2020-2021 School Year Traditionally in Shasta County,False
12,Save the Enhanced Nursery School Operating Grant!! Say NO to Proposed Amendment to Regs!,False
13,Cancel the STAAR test for the 2020/2021 school year,False
14,Justice For Dr. Susan Moore,False
15,Extend Winter Break for Brock Students,False
16,Get American crew members home!,False
17,RAISE PSW WAGES TO $25​.​00/HOUR,False
18,COVID-19  Dance Studio Industry Economic Hardship,False
19,Support More Testing for Covid,False
20,UBC Partial Tuition Refund,False
21,Close China’s wet market permanently,False
22,#SaveOurYouth,False
23,Tuition Adjustments Due to COVID-19,False
24,Ensure Education. STOP HIKE in School Fee for 2020-2021 #COVID-19,False
25,Cancel 10th Gujarat Board Exams,True
26,Cancellation of all University assignments and exams due to instability caused by COVID-19,True
27,NEU- CLOSE CAMPUS AND START ONLINE TEACHING,True
28,NOW reinstate all facial treatments from behind and to the side of the face.,False
29,Equestrian Riding relief,False
30,UWC must call off university!,True
31,Cancel Okanagan college  Classes due to COVID-19,True
32,Request To Have the Option to Make WFU Spring 2020 Classes Pass/Fail Due to COVID-19,True
33,Stop tourism to the Isle of Wight during the Covid 19 outbreak,True
34,No profit on Covid-19!,False
35,Cancel rent payments for international students during Covid 19,False
36,Tuition and Fee Refund for Campus Services Not Provided Due to COVID-19,False
37,SE PODRÍAN HABER EVITADO LAS MUERTES POR COVID-19 EN TODO EL MUNDO,False
38,Make Regis University close its doors now.,True
39,Post Natal Massage Service as Essential Services,False
40,Cancellation of RTU Final Semester Examination,True
41,HPU MUST Allow Housing/Dining Refunds if COVID-19 Impacts Fall 2020 Semester,False
42,"20 per studio classroom, rather than 20 per premises - if deemed safe.",False
43,VicRoads refund rego and TAC charged during covid restrictions.,False
44,"Grant emergency Bond due to the global pandemic of COVID-19, for Qamar Williams / Q money",False
