,text,label
0,Putin After Announcing #CovidVaccine #Russian https://t.co/rNDFFcaHNd,True
1,Courtesy: WA! #WhatsApp #COVID #CovidVaccine https://t.co/zQNeLva9GJ,True
2,4 of the vaccines Jared bought are expected to fail and Trump refuses to join the global… https://t.co/nBO2o0PNok,True
3,One day you will realize CDC Guidelines magically aligned with Teachers Unions demands,False
4,Im far from lying.  Current CDC guidelines is wearing a mask indoors and if you aren’t vaccinated. Is that wrong?,True
5,"Russia’s Covid vaccine ‘Sputnik-V’ might be released for civilian use this week, says report #CovidVaccine
#SputnikV
https://t.co/je1m0MrQOe",True
6,"I don’t see masks. In fact, my child was there…and we respected her decision not to wear a mask according to CDC guidelines. We also respected the decision of others if they chose to wear one. It’s that simple. That’s what we should instill in our children. Choice.",False
7,"I am fully vaccinated, unless CDC guidelines change, I don't wear a mask.",True
8,we ask every single person that walks in so we know if they need to wear a mask per CA and CDC guidelines. if they aren't willing to confirm/deny vaccination they are asked to leave. this isn't hard. only in American can a life-saving vaccine be made political. congrats GQP,True
9,will the sense touch 40k after a #CovidVaccine is released for unregulated sale in India?,True
10,"Health ministry approval Covid vaccine in Russia
#CovidVaccine https://t.co/cc1ha1cYCr",True
11,10 Days of Onam names | in kerala https://t.co/A2nX9r7OkB via #onam #kerala #VinayagarChathurthi2020… https://t.co/3W4UjMXeng,False
12,"amazing review and insights from #vaccine experts I highly recommend! 
*cold storage
 *safety issues… https://t.co/Mr4OTUlhga",True
13,Pretty sure the only people wearing masks right now are the vaccinated people.  The antivaxx people are also anti mask.  The CDC did a terrible job with their new mask guidelines.,True
14,These patients are slowly being tortured and then fully tortured when all off the meds. I feel for all the CPP pts may God give them relief soon. The cdc guidelines are changing within a.year. it will be better for cpp.,False
15,Safety &amp; efficacy of #CovidVaccine must follow science protocols - NOT political pressure. https://t.co/IQ0bDZ6ZU5,True
16,unveils online platform to ease #CovidVaccine #supplychain challenges - #COVID19 #pandemic #logistics #Cargo… https://t.co/mVHWKQZ7Nm,True
17,One reason the CDC mask guidelines are so reprehensible.,False
18,"I love how all he’s saying is that “I don’t believe in the science of vaccines, the CDC guidelines, or the rest of the country that is aligned with the cdc”",True
19,Russia becomes first country to register a coronavirus vaccine. #Russia #Putin #coronavirus #CovidVaccineRace… https://t.co/T1gouBKnnp,True
20,China’s Sinovac Biotech plans to start a clinical trial of its experimental vaccine against the coronavirus disease… https://t.co/lblV2b6ep6,True
21,That's what the mayor says but the city still isn't following guidelines. ADH Dr. Dillaha's instruction to mask if vaccinated is not being followed by city employees. It is in the CDC guidance for areas of high transmission too.,True
22,I follow CDC guidelines and am fully vaccinated and I'm not a maga nut job but we have to start living again. If you are afraid stay home bc businesses need to resume and get back to normal life.,True
23,Hey care to explain why your board voted tonight to go against the CDC guidelines tonight?  What changed?,False
24,"Watchout, today #newzealand has an outbreak of five matching the US total on the last 10 seconds.… https://t.co/NZySaC4VOI",False
25,After getting COVID-19 and waiting 3 months (per CDC guidelines)…  I finally got my 1st dose of the vaccine! 💉🥰 #VAXXED  https://t.co/C9HmHApwoI,True
26,"Must read summary of #CovidVaccine development. Major conclusion:
Vaccine research for COVID-19 started before we e… https://t.co/BDtl0DpGzM",True
27,"CREWNY's top priority remains the health and safety of our members. We ask that you comply with all COVID-19 safety guidelines established by the CDC &amp; NYC health authorities, including wearing a mask and maintaining safe distancing, to ensure a safe and welcoming environment.",False
28,"Experience 4, Medicaid (ACA) fights to not pay for pain medication (in accordance with CDC's 2016 Guidelines on opioid's.   Experience 5, pharmacies look at you as if your an addict. CVS pharmacist said ""he couldn't fill prescription, he takes aspirin and is fine- popped 2 fake",False
29,This type of dishonest health communication is why so many Americans don't trust public health officials. Don't pretend that the CDC is stating that vaccinated children should wear masks to bolster your guidelines. Just state honestly that California has a different policy.,True
30,"Mmmm, no, it does not.  The CDC’s guidelines clearly state that it can be varied by location as needed.  So, you lied just then.  https://t.co/CliBQY4jcJ",False
31,This #holocaust survivor just compared your #mandatoryvaccination agenda to #Nazi ideology… https://t.co/65klmlCUdd,True
32,"Do they want reoutbreak of Covid19 in the ships?? No it won't. At least, they need to follow the CDC guidelines.",False
33,"💰Bill Gates on Track to Grow His Fortune Through Foundation’s Ties to Vaccine Makers • 
#COVID19 #Vaccines… https://t.co/tnJ5qNEsoc",True
34,"What about our Protection under #ADA.  Phuck #PROP &amp; #CDC ""Guidelines.""  #ADA review from 2020: Our right to pain medications is the #LAW  https://t.co/iyxHeDsDHr",False
35,Latest #CovidVaccine update. started last stage trials for an antibody medicine against #COVID__19 wit… https://t.co/teU0bccxQZ,True
36,"People who are fully vaccinated can travel within the U.S., according to updated CDC guidelines announced on Friday.  https://t.co/gcSa5MhcS2 02",True
37,A federal appeals court panel sided with the CDC in its legal battle with Florida over COVID-19 guidelines for cruise lines.    https://t.co/gmPv4PSR8z,False
38,#CovidVaccine I Trump forced vaccine in Oct. timeframe th… https://t.co/CViUzCkIAi,True
39,Is it a bad time to remind everyone that “I Am Legend” happened because a pharma company rushed out a vaccine. So… https://t.co/Bwz8H8MLGG,True
40,"My PMD told me in 2018 that DEA agent told him that ""they didn't care who suffers or who commits suicide they are going to get these drugs off the streets"". He also told me that the Direction for enforcing CDC guidelines came from Rick Scott who was Governor of FL at that time.",False
